id,history,comedy,animation,action,romance,documentary,mystery,crime,science fiction,fantasy,drama,western,horror,adventure,family,thriller,music,foreign,war
606,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
608,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
612,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
613,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
616,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
622,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
625,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
627,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
628,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
629,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
635,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
636,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
638,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
641,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
644,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
652,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
655,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
670,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
676,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
686,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
687,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
694,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
702,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
705,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
707,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
708,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
709,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
711,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
714,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
746,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
752,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
754,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
755,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
763,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
765,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
767,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
768,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
769,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
782,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
783,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
786,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
787,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
791,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
793,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
795,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
802,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
806,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
810,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
814,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
816,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
818,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
819,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
820,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
821,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
824,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
825,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
829,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
830,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
834,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
837,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
841,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
844,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
846,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
847,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
848,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
849,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
855,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
856,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
859,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
861,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
865,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
866,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
868,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
869,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
872,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
879,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
889,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
892,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
898,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
901,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
902,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
913,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
918,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
921,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
924,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
926,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
928,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
929,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
944,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
947,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
949,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
955,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
956,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
957,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
962,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
963,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
966,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
967,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
978,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
982,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
990,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
994,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
995,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
996,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1018,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1024,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1088,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1089,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1090,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1091,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1116,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1124,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1162,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1213,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1245,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1247,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1248,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1250,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1251,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1259,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1262,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1265,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
1266,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1267,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1272,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1273,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1278,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1359,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1360,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1370,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1372,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1378,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1379,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1381,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
1389,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1408,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1411,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1415,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1417,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1422,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1427,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1428,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1433,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
1440,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1441,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1443,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1452,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1480,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1487,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1491,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1492,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1493,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1495,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
